raceId,lap,p1_p2,p2_p3,p1_last
12,10,1.892,1.788,34.603
12,11,1.803,1.88,37.596
12,12,1.824,5.449,40.654
12,13,1.957,6.998,43.962
12,14,1.875,6.712,43.17
12,15,8.695,1.557,36.247
12,16,6.329,1.364,34.825
12,17,1.313,1.453,29.615
12,18,0.964,0.536,28.944
12,19,0.992,1.708,30.382
12,20,1.038,1.843,35.803
12,21,1.208,1.699,65.2
12,22,0.879,1.931,33.795
12,23,0.795,1.939,35.023
12,24,0.795,5.431,40.463
12,25,0.864,5.502,70.219
12,26,1.084,5.488,73.293
12,27,0.954,5.662,75.028
12,28,1.015,5.685,78.657
12,29,1.126,5.827,81.353
12,30,1.287,9.475,84.629
12,31,1.017,6.039,84.322
12,32,6.27,4.359,79.977
12,33,11.192,0.707,83.368
12,34,11.774,0.71,85.744
12,35,8.724,0.695,85.864
12,36,0.873,5.92,80.516
12,37,0.872,5.214,82.632
12,38,0.886,4.586,85.558
12,39,0.847,4.183,88.053
12,40,1.058,3.699,90.763
12,41,0.865,3.598,92.587
12,42,0.947,3.733,95.826
12,43,0.951,3.304,98.181
12,44,0.939,2.936,102.177
13,1,1.277,0.528,12.085
13,2,1.894,0.654,20.75
13,3,2.19,0.981,25.624
13,4,2.818,0.907,29.779
13,5,2.851,1.155,66.681
13,6,3.565,1.094,70.458
13,7,4.078,1.035,73.65
13,8,4.242,1.002,76.212
13,9,4.676,0.819,78.952
13,10,5.205,0.548,81.241
13,11,5.389,0.772,83.604
13,12,5.733,1.055,88.166
13,13,6.46,0.789,91.08
13,14,6.84,0.759,96.641
13,15,3.797,0.781,99.468
13,16,0.819,10.403,136.601
13,17,4.273,7.365,141.581
13,18,12.139,2.881,144.083
13,19,9.285,2.497,142.908
13,20,2.431,8.988,135.149
13,21,2.159,9.576,136.804
13,22,2.133,10.043,139.001
13,23,2.167,10.42,141.019
13,24,1.996,10.962,142.926
13,25,1.926,11.502,145.061
13,26,2.127,11.859,147.104
13,27,2.191,12.071,149.663
13,28,5.556,8.723,151.676
13,29,11.385,5.031,150.705
13,30,5.085,1.493,140.944
13,31,5.456,1.023,143.4
13,32,5.697,0.997,146.119
13,33,5.883,1.013,148.375
13,34,3.21,0.922,148.167
13,35,1.265,10.328,147.4
13,36,1.243,11.261,149.774
13,37,0.714,8.902,148.191
13,38,5.439,2.958,139.723
13,39,5.346,2.724,140.788
13,40,5.217,2.486,145.315
13,41,5.166,2.212,184.776
13,42,5.296,1.879,186.725
13,43,4.937,1.935,187.859
13,44,4.821,1.604,192.106
13,45,4.339,1.664,192.927
13,46,4.05,1.86,194.552
13,47,4.097,1.909,196.33
13,48,4.181,1.934,197.762
13,49,3.952,1.741,198.27
13,50,4.022,1.414,198.956
13,51,3.944,1.225,217.518
13,52,3.353,1.091,124.542
13,53,2.866,27.798,163.925
14,1,0.994,0.773,19.466
14,2,1.438,1.327,22.981
14,3,1.587,1.46,45.178
14,4,1.991,1.573,31.764
14,5,1.504,1.508,34.914
14,6,1.961,1.478,40.214
14,7,2.223,1.663,45.224
14,8,2.496,1.619,50.593
14,9,2.075,2.42,54.114
14,10,2.275,2.17,59.206
14,11,2.431,2.226,64.159
14,12,2.531,2.353,69.776
14,13,2.525,2.194,77.766
14,14,3.031,1.774,83.567
14,15,3.173,2.032,87.774
14,16,2.96,1.874,94.587
14,17,2.524,6.195,97.63
14,18,6.299,11.159,103.181
14,19,23.065,3.197,130.543
14,20,22.263,5.814,131.91
14,21,4.387,0.537,174.353
14,22,1.849,2.279,168.742
14,23,2.808,1.217,165.112
14,24,0.828,1.275,16.84
14,25,0.548,0.294,10.692
14,26,0.555,0.736,13.558
14,27,1.619,1.947,17.576
14,28,1.075,3.581,21.545
14,29,0.881,4.124,25.702
14,30,0.908,4.624,28.945
14,31,1.151,5.01,32.809
14,32,0.739,5.09,36.183
14,33,0.778,4.817,40.95
14,34,0.857,4.291,45.014
14,35,0.817,4.545,60.411
14,36,0.9,5.349,60.914
14,37,0.563,6.219,60.966
14,38,1.147,6.506,66.28
14,39,5.083,2.649,93.231
14,40,8.069,6.077,120.703
14,41,9.346,5.85,124.072
14,42,9.224,7.22,128.692
14,43,9.794,7.617,133.974
14,44,10.247,8.059,136.149
14,45,14.678,4.438,139.008
14,46,16.824,10.318,142.447
14,47,3.928,7.263,135.254
14,48,4.934,5.458,77.77
14,49,5.254,4.541,79.097
14,50,0.959,3.784,75.671
14,51,6.965,2.126,75.921
14,52,8.843,7.193,77.21
14,53,8.541,6.322,81.402
14,54,7.748,6.351,83.082
14,55,7.122,7.492,84.183
14,56,7.095,7.883,86.211
14,57,7.664,7.811,87.767
14,58,8.52,7.28,89.355
14,59,7.564,7.673,89.506
14,60,8.25,8.146,91.258
14,61,9.634,6.99,93.502
15,1,1.124,1.079,20.136
15,2,1.926,1.236,61.692
15,3,2.193,1.346,122.308
15,4,2.063,1.441,129.289
15,5,2.492,1.636,152.826
15,6,2.647,1.811,155.14
15,7,2.978,1.909,158.018
15,8,3.37,1.965,160.694
15,9,3.836,1.885,163.469
15,10,4.156,1.935,166.219
15,11,4.496,1.643,168.491
15,12,4.758,1.83,171.247
15,13,4.389,2.168,173.386
15,14,4.352,2.619,175.72
15,15,6.353,1.124,177.884
15,16,9.075,4.165,179.726
15,17,13.834,7.617,181.57
15,18,13.909,8.185,181.035
15,19,0.931,2.935,155.523
15,20,1.179,2.669,155.862
15,21,1.244,2.69,156.381
15,22,3.115,0.868,156.753
15,23,4.328,2.267,157.576
15,24,4.587,2.382,158.371
15,25,5.005,2.254,159.148
15,26,5.138,2.268,159.622
15,27,5.339,2.231,160.216
15,28,5.343,2.525,160.834
15,29,5.55,2.658,161.517
15,30,6.161,2.856,162.6
15,31,6.346,3.062,165.263
15,32,6.517,3.42,167.818
15,33,6.308,3.472,172.093
15,34,6.533,3.175,201.662
15,35,7.003,2.948,203.516
15,36,7.164,3.09,205.491
15,37,9.356,1.076,208.763
15,38,10.125,21.862,212.927
15,39,11.656,20.89,218.287
15,40,30.595,1.361,225.133
15,41,8.438,2.32,202.721
15,42,9.949,2.928,204.159
15,43,11.738,3.57,216.242
15,44,12.525,4.237,283.637
15,45,16.805,4.477,346.218
15,46,3.611,1.541,340.804
15,47,3.226,0.704,331.427
15,48,2.201,1.037,263.121
15,49,1.847,0.655,210.856
15,50,2.229,1.499,209.008
15,51,2.618,1.956,209.48
15,52,3.494,2.116,113.296
15,53,4.877,1.595,17.973
16,1,0.977,2.02,24.554
16,2,1.701,0.896,29.703
16,3,1.924,1.01,22.504
16,4,3.089,0.577,22.597
16,5,0.429,0.48,6.512
