year,driver,gp,tires,from,to,laps
2012,Jean-Eric Vergne,Monaco,Intermediate New,71,77,7
2012,Timo Glock,Monaco,Supersoft New,1,30,30
2012,Timo Glock,Monaco,Soft New,31,54,24
2012,Timo Glock,Monaco,Soft New,55,77,23
2012,Narain Karthikeyan,Monaco,Supersoft New,1,29,29
2012,Narain Karthikeyan,Monaco,Supersoft Used,30,74,45
2012,Narain Karthikeyan,Monaco,Soft New,75,76,2
2012,Jenson Button,Monaco,Soft New,1,38,38
2012,Jenson Button,Monaco,Supersoft New,39,70,32
2012,Daniel Ricciardo,Monaco,Supersoft Used,1,40,40
2012,Daniel Ricciardo,Monaco,Soft New,41,65,25
2012,Charles Pic,Monaco,Supersoft New,1,33,33
2012,Charles Pic,Monaco,Soft New,34,64,31
2012,Michael Schumacher,Monaco,Supersoft Used,1,34,34
2012,Michael Schumacher,Monaco,Soft New,35,63,29
2012,Vitaly Petrov,Monaco,Soft New,1,3,3
2012,Vitaly Petrov,Monaco,Soft New,4,15,12
2012,Kamui Kobayashi,Monaco,Supersoft New,1,1,1
2012,Kamui Kobayashi,Monaco,Soft New,2,5,4
2012,Romain Grosjean,Monaco,Supersoft Used,1,1,1
2012,Pedro de la Rosa,Monaco,Soft New,1,1,1
2012,Pastor Maldonado,Monaco,Supersoft Used,1,1,1
2012,Lewis Hamilton,Canada,Supersoft Used,1,17,17
2012,Lewis Hamilton,Canada,Soft New,18,50,33
2012,Lewis Hamilton,Canada,Soft New,51,70,20
2012,Romain Grosjean,Canada,Supersoft Used,1,21,21
2012,Romain Grosjean,Canada,Soft Used,22,70,49
2012,Sergio Perez,Canada,Soft New,1,41,41
2012,Sergio Perez,Canada,Supersoft New,42,70,29
2012,Sebastian Vettel,Canada,Supersoft Used,1,16,16
2012,Sebastian Vettel,Canada,Soft New,17,63,47
2012,Sebastian Vettel,Canada,Supersoft New,64,70,7
2012,Fernando Alonso,Canada,Supersoft Used,1,19,19
2012,Nico Rosberg,Canada,Supersoft Used,1,19,19
2012,Nico Rosberg,Canada,Soft New,20,38,19
2012,Nico Rosberg,Canada,Soft Used,39,70,32
2012,Mark Webber,Canada,Supersoft New,1,17,17
2012,Mark Webber,Canada,Soft New,18,52,35
