Race,Cause,Deployed,Retreated,FullLaps,raceId,year,race_name,rating
2020 Belgian Grand Prix,Accident,11,15.0,4,1037,2020,Belgian Grand Prix,
2020 Italian Grand Prix,Stranded car,20,24.0,3,1038,2020,Italian Grand Prix,
2020 Italian Grand Prix,Accident,25,28.0,2,1038,2020,Italian Grand Prix,
2020 Tuscan Grand Prix,Accident,1,7.0,5,1039,2020,Tuscan Grand Prix,
2020 Tuscan Grand Prix,Accident,7,10.0,2,1039,2020,Tuscan Grand Prix,
2020 Tuscan Grand Prix,Accident,45,48.0,2,1039,2020,Tuscan Grand Prix,
2020 Russian Grand Prix,Two accidents,1,6.0,4,1040,2020,Russian Grand Prix,
2020 Eifel Grand Prix,Stranded car,45,50.0,5,1041,2020,Eifel Grand Prix,
2020 Emilia Romagna Grand Prix,Accident,51,58.0,5,1043,2020,Emilia Romagna Grand Prix,
2020 Bahrain Grand Prix,Accident,2,9.0,6,1045,2020,Bahrain Grand Prix,
2020 Bahrain Grand Prix,Stranded car,54,,3,1045,2020,Bahrain Grand Prix,
2020 Sakhir Grand Prix,Accident,1,7.0,5,1046,2020,Sakhir Grand Prix,
2020 Sakhir Grand Prix,Accident,64,69.0,3,1046,2020,Sakhir Grand Prix,
2020 Abu Dhabi Grand Prix,Stranded car,12,14.0,1,1047,2020,Abu Dhabi Grand Prix,
2021 Bahrain Grand Prix,Accident,1,4.0,2,1052,2021,Bahrain Grand Prix,
2021 Emilia Romagna Grand Prix,Two accidents,2,7.0,4,1053,2021,Emilia Romagna Grand Prix,
2021 Portuguese Grand Prix,Accident,2,7.0,4,1054,2021,Portuguese Grand Prix,
2021 Spanish Grand Prix,Stranded car,8,11.0,2,1055,2021,Spanish Grand Prix,
2021 Azerbaijan Grand Prix,Accident,32,36.0,3,1057,2021,Azerbaijan Grand Prix,
2021 Azerbaijan Grand Prix,Accident,47,49.0,1,1057,2021,Azerbaijan Grand Prix,
2021 Austrian Grand Prix,Stranded car,1,4.0,2,1060,2021,Austrian Grand Prix,
2021 Hungarian Grand Prix,Accident,1,2.0,1,1062,2021,Hungarian Grand Prix,
2021 Belgian Grand Prix,Rain,1,,2,1063,2021,Belgian Grand Prix,
2021 Italian Grand Prix,Accident,26,32.0,5,1065,2021,Italian Grand Prix,
2021 Mexico City Grand Prix,Accident,1,5.0,3,1070,2021,Mexico City Grand Prix,
2021 São Paulo Grand Prix,Debris from accident,6,10.0,3,1071,2021,São Paulo Grand Prix,
2021 Saudi Arabian Grand Prix,Accident,10,15.0,4,1072,2021,Saudi Arabian Grand Prix,
2021 Abu Dhabi Grand Prix,Accident,54,58.0,3,1073,2021,Abu Dhabi Grand Prix,
2022 Bahrain Grand Prix,Stranded car,46,51.0,4,1074,2022,Bahrain Grand Prix,
2022 Saudi Arabian Grand Prix,Stranded car,16,21.0,4,1075,2022,Saudi Arabian Grand Prix,
2022 Australian Grand Prix,Stranded car,4,7,2,1076,2022,Australian Grand Prix,
2022 Australian Grand Prix,Stranded car,24,27,3,1076,2022,Australian Grand Prix,
2022 Emilia Romagna Grand Prix,Stranded car,1,5,4,1077,2022,Emilia Romagna Grand Prix,
2022 Miami Grand Prix,Stranded car,40,47,6,1078,2022,Miami Grand Prix,
2022 Monaco Grand Prix,Rain,1,3.0,1,1080,2022,Monaco Grand Prix,
2022 Monaco Grand Prix,Stranded car,27,33,5,1080,2022,Monaco Grand Prix,
2022 Canadian Grand Prix,Stranded car,49,55,5,1082,2022,Canadian Grand Prix,
2022 British Grand Prix,Stranded car,39,43,4,1083,2022,British Grand Prix,
2022 French Grand Prix,Stranded car,18,21,2,1085,2022,French Grand Prix,
2022 Belgian Grand Prix,Stranded car,2,5,3,1087,2022,Belgian Grand Prix,
2022 Dutch Grand Prix,Stranded car,56,61,4,1088,2022,Dutch Grand Prix,
2022 Italian Grand Prix,Stranded car,47,,6,1089,2022,Italian Grand Prix,
2022 Singapore Grand Prix,Stranded car,8,11,3,1091,2022,Singapore Grand Prix,
2022 Singapore Grand Prix,Stranded car,36,40,3,1091,2022,Singapore Grand Prix,
2022 Japanese Grand Prix,Stranded car/Rain,1,6,5,1092,2022,Japanese Grand Prix,
2022 United States Grand Prix,Stranded car,18,22,4,1093,2022,United States Grand Prix,
2022 United States Grand Prix,Accident,23,26,3,1093,2022,United States Grand Prix,
2022 Brazilian Grand Prix,Accident,1,7,7,1095,2022,Brazilian Grand Prix,
2022 Brazilian Grand Prix,Stranded car,55,60,5,1095,2022,Brazilian Grand Prix,
